# E[GeV]  cos_zenith  Pee  Pemu  Petau  Pmue  Pmumu  Pmutau  Ptaue  Ptaumu  Ptautau
1.353363e-01  -1.000000e+00  6.459097e-01  2.899229e-01  6.416740e-02  1.933295e-01  6.130504e-01  1.936201e-01  1.607608e-01  9.702668e-02  7.422125e-01
1.365114e-01  -1.000000e+00  6.907744e-01  1.794430e-01  1.297826e-01  2.200598e-01  7.688905e-01  1.104971e-02  8.916571e-02  5.166658e-02  8.591677e-01
1.376967e-01  -1.000000e+00  7.404551e-01  9.664369e-02  1.629012e-01  1.396137e-01  4.657553e-01  3.946310e-01  1.199311e-01  4.376010e-01  4.424679e-01
1.388924e-01  -1.000000e+00  7.350852e-01  1.544498e-01  1.104651e-01  5.452018e-02  8.515782e-02  8.603220e-01  2.103947e-01  7.603924e-01  2.921291e-02
1.400984e-01  -1.000000e+00  6.911264e-01  2.680733e-01  4.080035e-02  8.441364e-02  1.906376e-01  7.249488e-01  2.244600e-01  5.412891e-01  2.342508e-01
1.413148e-01  -1.000000e+00  6.900851e-01  2.555047e-01  5.441022e-02  1.785255e-01  6.645287e-01  1.569459e-01  1.313894e-01  7.996667e-02  7.886439e-01
1.425419e-01  -1.000000e+00  7.501459e-01  1.263929e-01  1.234613e-01  1.760414e-01  7.565687e-01  6.738992e-02  7.381275e-02  1.170384e-01  8.091488e-01
1.437796e-01  -1.000000e+00  7.815877e-01  9.419698e-02  1.242154e-01  7.254840e-02  2.799344e-01  6.475172e-01  1.458639e-01  6.258686e-01  2.282675e-01
1.450280e-01  -1.000000e+00  7.375322e-01  2.138353e-01  4.863253e-02  4.695351e-02  6.523248e-02  8.878140e-01  2.155143e-01  7.209322e-01  6.355345e-02
1.462873e-01  -1.000000e+00  7.130964e-01  2.561188e-01  3.078485e-02  1.412204e-01  5.432140e-01  3.155656e-01  1.456832e-01  2.006673e-01  6.536495e-01
1.475575e-01  -1.000000e+00  7.726458e-01  1.291291e-01  9.822514e-02  1.633279e-01  8.125478e-01  2.412430e-02  6.402627e-02  5.832317e-02  8.776506e-01
1.488387e-01  -1.000000e+00  8.088555e-01  8.344328e-02  1.077012e-01  6.085314e-02  3.085885e-01  6.305583e-01  1.302914e-01  6.079682e-01  2.617405e-01
1.501311e-01  -1.000000e+00  7.554513e-01  2.107025e-01  3.384626e-02  4.470798e-02  7.501624e-02  8.802758e-01  1.998408e-01  7.142813e-01  8.587796e-02
1.514347e-01  -1.000000e+00  7.430282e-01  2.251745e-01  3.179730e-02  1.431203e-01  6.485687e-01  2.083111e-01  1.138516e-01  1.262568e-01  7.598916e-01
1.527496e-01  -1.000000e+00  8.158143e-01  8.581153e-02  9.837414e-02  1.243562e-01  7.498535e-01  1.257903e-01  5.982945e-02  1.643350e-01  7.758355e-01
1.540759e-01  -1.000000e+00  8.150749e-01  1.131715e-01  7.175365e-02  2.701356e-02  1.228352e-01  8.501513e-01  1.579116e-01  7.639933e-01  7.809508e-02
1.554137e-01  -1.000000e+00  7.537473e-01  2.341943e-01  1.205840e-02  8.146533e-02  2.816257e-01  6.369090e-01  1.647874e-01  4.841800e-01  3.510326e-01
1.567632e-01  -1.000000e+00  7.998711e-01  1.390154e-01  6.111359e-02  1.429987e-01  8.553533e-01  1.648043e-03  5.713028e-02  5.631350e-03  9.372384e-01
1.581243e-01  -1.000000e+00  8.482439e-01  6.604500e-02  8.571107e-02  4.725626e-02  3.708248e-01  5.819190e-01  1.044998e-01  5.631302e-01  3.323700e-01
1.594973e-01  -1.000000e+00  7.816326e-01  2.009604e-01  1.740705e-02  4.346155e-02  9.610454e-02  8.604339e-01  1.749059e-01  7.029351e-01  1.221590e-01
1.608823e-01  -1.000000e+00  7.941171e-01  1.697771e-01  3.610579e-02  1.337824e-01  7.907496e-01  7.546801e-02  7.210049e-02  3.947331e-02  8.884262e-01
1.622792e-01  -1.000000e+00  8.640770e-01  5.383403e-02  8.208895e-02  6.010680e-02  5.318401e-01  4.080531e-01  7.581617e-02  4.143258e-01  5.098580e-01
1.636883e-01  -1.000000e+00  8.025443e-01  1.765021e-01  2.095359e-02  2.963852e-02  4.967829e-02  9.206832e-01  1.678171e-01  7.738196e-01  5.836322e-02
1.651096e-01  -1.000000e+00  8.013143e-01  1.717916e-01  2.689405e-02  1.237508e-01  7.565051e-01  1.197440e-01  7.493485e-02  7.170324e-02  8.533619e-01
1.665432e-01  -1.000000e+00  8.760602e-01  4.923190e-02  7.470788e-02  5.539146e-02  5.550746e-01  3.895340e-01  6.854833e-02  3.956935e-01  5.357581e-01
1.679893e-01  -1.000000e+00  8.094453e-01  1.745932e-01  1.596147e-02  3.045112e-02  5.674222e-02  9.128067e-01  1.601036e-01  7.686645e-01  7.123188e-02
1.694479e-01  -1.000000e+00  8.199345e-01  1.506945e-01  2.937106e-02  1.189307e-01  8.103275e-01  7.074184e-02  6.113485e-02  3.897805e-02  8.998871e-01
1.709193e-01  -1.000000e+00  8.848279e-01  4.961939e-02  6.555274e-02  3.573400e-02  4.397900e-01  5.244760e-01  7.943812e-02  5.105906e-01  4.099712e-01
1.724033e-01  -1.000000e+00  8.051240e-01  1.888115e-01  6.064558e-03  4.673399e-02  1.408666e-01  8.123994e-01  1.481421e-01  6.703219e-01  1.815360e-01
1.739003e-01  -1.000000e+00  8.526559e-01  1.057278e-01  4.161632e-02  1.082460e-01  8.907921e-01  9.619105e-04  3.909810e-02  3.480124e-03  9.574218e-01
1.754103e-01  -1.000000e+00  8.781857e-01  7.374806e-02  4.806628e-02  1.262994e-02  2.023801e-01  7.849900e-01  1.091844e-01  7.238719e-01  1.669437e-01
1.769334e-01  -1.000000e+00  8.055415e-01  1.918275e-01  2.630992e-03  7.977893e-02  4.044766e-01  5.157445e-01  1.146795e-01  4.036959e-01  4.816245e-01
1.784697e-01  -1.000000e+00  8.928384e-01  5.137075e-02  5.579082e-02  7.264690e-02  7.999694e-01  1.273837e-01  3.451466e-02  1.486599e-01  8.168255e-01
1.800193e-01  -1.000000e+00  8.450670e-01  1.356022e-01  1.933081e-02  1.524103e-02  2.811223e-02  9.566467e-01  1.396920e-01  8.362856e-01  2.402245e-02
1.815824e-01  -1.000000e+00  8.401224e-01  1.397504e-01  2.012716e-02  1.039797e-01  8.004038e-01  9.561645e-02  5.589785e-02  5.984575e-02  8.842564e-01
1.831591e-01  -1.000000e+00  9.026116e-01  4.764070e-02  4.974774e-02  1.917518e-02  3.676788e-01  6.131460e-01  7.821326e-02  5.846805e-01  3.371063e-01
1.847495e-01  -1.000000e+00  8.164820e-01  1.828940e-01  6.239972e-04  6.481559e-02  3.013066e-01  6.338778e-01  1.187024e-01  5.157994e-01  3.654982e-01
1.863537e-01  -1.000000e+00  9.028353e-01  4.928907e-02  4.787567e-02  6.856738e-02  8.296512e-01  1.017814e-01  2.859737e-02  1.210597e-01  8.503429e-01
1.879718e-01  -1.000000e+00  8.509678e-01  1.344520e-01  1.458020e-02  1.651151e-02  2.732291e-02  9.561656e-01  1.325207e-01  8.382251e-01  2.925422e-02
1.896039e-01  -1.000000e+00  8.620919e-01  1.145897e-01  2.331845e-02  9.675130e-02  8.652150e-01  3.803372e-02  4.115683e-02  2.019533e-02  9.386478e-01
1.912502e-01  -1.000000e+00  8.996140e-01  6.357307e-02  3.681294e-02  6.950050e-03  2.082567e-01  7.847932e-01  9.343596e-02  7.281702e-01  1.783938e-01
1.929109e-01  -1.000000e+00  8.305668e-01  1.655639e-01  3.869343e-03  8.387586e-02  5.477362e-01  3.683879e-01  8.555739e-02  2.866999e-01  6.277428e-01
1.945859e-01  -1.000000e+00  9.224526e-01  3.159836e-02  4.594908e-02  3.082367e-02  5.773539e-01  3.918224e-01  4.672377e-02  3.910477e-01  5.622285e-01
1.962755e-01  -1.000000e+00  8.305002e-01  1.688269e-01  6.729728e-04  5.095712e-02  2.067424e-01  7.423005e-01  1.185427e-01  6.244307e-01  2.570266e-01
1.979798e-01  -1.000000e+00  9.150409e-01  4.455925e-02  4.039985e-02  6.164521e-02  8.443778e-01  9.397695e-02  2.331389e-02  1.110629e-01  8.656232e-01
