# E[GeV]  cos_zenith  Pee  Pemu  Petau  Pmue  Pmumu  Pmutau  Ptaue  Ptaumu  Ptautau
1.353363e-01  -1.000000e+00  8.812780e-01  3.000323e-02  8.871876e-02  5.101542e-02  5.431826e-01  4.058020e-01  6.770657e-02  4.268142e-01  5.054793e-01
1.365114e-01  -1.000000e+00  8.133292e-01  1.071625e-01  7.950833e-02  1.646853e-01  7.062355e-01  1.290792e-01  2.198548e-02  1.866020e-01  7.914125e-01
1.376967e-01  -1.000000e+00  8.149004e-01  1.394083e-02  1.711588e-01  1.467835e-01  5.043147e-02  8.027850e-01  3.831609e-02  9.356277e-01  2.605620e-02
1.388924e-01  -1.000000e+00  8.442932e-01  1.050505e-01  5.065629e-02  8.465692e-02  8.677260e-01  4.761711e-02  7.104989e-02  2.722351e-02  9.017266e-01
1.400984e-01  -1.000000e+00  7.672029e-01  5.788692e-02  1.749102e-01  2.206033e-01  1.543203e-01  6.250763e-01  1.219374e-02  7.877927e-01  2.000135e-01
1.413148e-01  -1.000000e+00  8.447852e-01  7.126730e-02  8.394755e-02  6.122860e-02  6.057085e-01  3.330629e-01  9.398625e-02  3.230242e-01  5.829895e-01
1.425419e-01  -1.000000e+00  7.512012e-01  1.048689e-01  1.439298e-01  2.342479e-01  4.296051e-01  3.361469e-01  1.455081e-02  4.655259e-01  5.199233e-01
1.437796e-01  -1.000000e+00  8.288986e-01  4.997006e-02  1.211314e-01  7.557728e-02  3.654038e-01  5.590189e-01  9.552413e-02  5.846262e-01  3.198497e-01
1.450280e-01  -1.000000e+00  7.446608e-01  1.319758e-01  1.233634e-01  2.295286e-01  5.879423e-01  1.825291e-01  2.581053e-02  2.800819e-01  6.941075e-01
1.462873e-01  -1.000000e+00  8.160542e-01  4.684927e-02  1.370966e-01  8.751595e-02  2.693893e-01  6.430948e-01  9.642988e-02  6.837615e-01  2.198087e-01
1.475575e-01  -1.000000e+00  7.350825e-01  1.411391e-01  1.237784e-01  2.348126e-01  6.102291e-01  1.549583e-01  3.010491e-02  2.486318e-01  7.212633e-01
1.488387e-01  -1.000000e+00  8.114061e-01  5.959774e-02  1.289961e-01  8.280941e-02  2.988009e-01  6.183897e-01  1.057845e-01  6.416013e-01  2.526142e-01
1.501311e-01  -1.000000e+00  7.237463e-01  1.304330e-01  1.458207e-01  2.514608e-01  5.122969e-01  2.362423e-01  2.479289e-02  3.572701e-01  6.179370e-01
1.514347e-01  -1.000000e+00  8.069577e-01  9.478443e-02  9.825791e-02  7.358867e-02  4.533561e-01  4.730552e-01  1.194537e-01  4.518594e-01  4.286869e-01
1.527496e-01  -1.000000e+00  7.248134e-01  9.202428e-02  1.831623e-01  2.532458e-01  2.920387e-01  4.547155e-01  2.194077e-02  6.159370e-01  3.621222e-01
1.540759e-01  -1.000000e+00  7.833116e-01  1.533062e-01  6.338224e-02  1.001864e-01  7.014502e-01  1.983634e-01  1.165020e-01  1.452437e-01  7.382543e-01
1.554137e-01  -1.000000e+00  7.565627e-01  4.410922e-02  1.993281e-01  1.942350e-01  6.532740e-02  7.404376e-01  4.920225e-02  8.905634e-01  6.023436e-02
1.567632e-01  -1.000000e+00  7.341204e-01  1.868143e-01  7.906528e-02  1.938448e-01  8.013457e-01  4.809531e-03  7.203476e-02  1.184005e-02  9.161252e-01
1.581243e-01  -1.000000e+00  7.975645e-01  6.415066e-02  1.382848e-01  9.191123e-02  1.836283e-01  7.244605e-01  1.105243e-01  7.522211e-01  1.372547e-01
1.594973e-01  -1.000000e+00  7.162810e-01  1.170127e-01  1.667063e-01  2.590528e-01  4.229054e-01  3.180417e-01  2.466615e-02  4.600818e-01  5.152520e-01
1.608823e-01  -1.000000e+00  7.696127e-01  1.725335e-01  5.785378e-02  1.116710e-01  6.985066e-01  1.898224e-01  1.187163e-01  1.289599e-01  7.523238e-01
1.622792e-01  -1.000000e+00  7.797747e-01  4.268487e-02  1.775404e-01  1.435567e-01  5.000136e-02  8.064420e-01  7.666862e-02  9.073138e-01  1.601761e-02
1.636883e-01  -1.000000e+00  7.126581e-01  1.564669e-01  1.308750e-01  2.518618e-01  6.222025e-01  1.259357e-01  3.548003e-02  2.213307e-01  7.431893e-01
1.651096e-01  -1.000000e+00  7.795834e-01  1.598302e-01  6.058642e-02  9.274685e-02  5.933816e-01  3.138715e-01  1.276698e-01  2.467882e-01  6.255421e-01
1.665432e-01  -1.000000e+00  7.814686e-01  4.371019e-02  1.748212e-01  1.452797e-01  4.937242e-02  8.053479e-01  7.325174e-02  9.069174e-01  1.983087e-02
1.679893e-01  -1.000000e+00  7.156737e-01  1.470450e-01  1.372814e-01  2.529395e-01  5.862950e-01  1.607655e-01  3.138684e-02  2.666600e-01  7.019531e-01
